order_id,shipping_date,shipping_days_actual,shipping_days_scheduled,shipping_mode,delivery_status,late_delivery_risk
77202,2018-02-03 22:56:00,3,4,Standard Class,Advance shipping,0
75939,2018-01-18 12:27:00,5,4,Standard Class,Late delivery,1
75938,2018-01-17 12:06:00,4,4,Standard Class,Shipping on time,0
75937,2018-01-16 11:45:00,3,4,Standard Class,Advance shipping,0
75936,2018-01-15 11:24:00,2,4,Standard Class,Advance shipping,0
75935,2018-01-19 11:03:00,6,4,Standard Class,Shipping canceled,0
75934,2018-01-15 10:42:00,2,1,First Class,Late delivery,1
75933,2018-01-15 10:21:00,2,1,First Class,Late delivery,1
75932,2018-01-16 10:00:00,3,2,Second Class,Late delivery,1
75931,2018-01-15 09:39:00,2,1,First Class,Late delivery,1
75930,2018-01-19 09:18:00,6,2,Second Class,Shipping canceled,0
75929,2018-01-18 08:57:00,5,2,Second Class,Late delivery,1
75928,2018-01-17 08:36:00,4,2,Second Class,Late delivery,1
75927,2018-01-15 08:15:00,2,1,First Class,Late delivery,1
75926,2018-01-15 07:54:00,2,1,First Class,Late delivery,1
75925,2018-01-15 07:33:00,2,1,First Class,Late delivery,1
75924,2018-01-18 07:12:00,5,2,Second Class,Late delivery,1
75923,2018-01-15 06:51:00,2,1,First Class,Late delivery,1
75922,2018-01-15 06:30:00,2,1,First Class,Late delivery,1
75921,2018-01-13 18:09:00,0,0,Same Day,Shipping on time,0
75920,2018-01-13 17:48:00,0,0,Same Day,Shipping on time,0
75919,2018-01-18 05:27:00,5,4,Standard Class,Late delivery,1
75918,2018-01-17 05:06:00,4,2,Second Class,Late delivery,1
75917,2018-01-16 04:45:00,3,2,Second Class,Shipping canceled,0
75916,2018-01-15 04:24:00,2,2,Second Class,Shipping canceled,0
75915,2018-01-19 04:03:00,6,2,Second Class,Late delivery,1
75914,2018-01-18 03:42:00,5,2,Second Class,Late delivery,1
75913,2018-01-17 03:21:00,4,4,Standard Class,Shipping on time,0
75912,2018-01-16 03:00:00,3,4,Standard Class,Advance shipping,0
75911,2018-01-15 02:39:00,2,4,Standard Class,Advance shipping,0
75910,2018-01-19 02:18:00,6,4,Standard Class,Late delivery,1
75909,2018-01-18 01:57:00,5,4,Standard Class,Late delivery,1
75908,2018-01-17 01:36:00,4,4,Standard Class,Shipping on time,0
75907,2018-01-15 01:15:00,2,1,First Class,Late delivery,1
75906,2018-01-15 00:54:00,2,1,First Class,Late delivery,1
75905,2018-01-15 00:33:00,2,1,First Class,Late delivery,1
75904,2018-01-15 00:12:00,2,1,First Class,Late delivery,1
75903,2018-01-14 23:51:00,2,1,First Class,Late delivery,1
75902,2018-01-13 11:30:00,1,0,Same Day,Late delivery,1
75901,2018-01-13 11:09:00,1,0,Same Day,Shipping canceled,0
75900,2018-01-13 10:48:00,1,0,Same Day,Late delivery,1
75899,2018-01-13 10:27:00,1,0,Same Day,Late delivery,1
75898,2018-01-16 22:05:00,4,4,Standard Class,Shipping on time,0
75897,2018-01-15 21:44:00,3,4,Standard Class,Advance shipping,0
75896,2018-01-14 21:23:00,2,4,Standard Class,Advance shipping,0
75895,2018-01-18 21:02:00,6,4,Standard Class,Late delivery,1
75894,2018-01-17 20:41:00,5,2,Second Class,Late delivery,1
75893,2018-01-16 20:20:00,4,4,Standard Class,Shipping on time,0
28744,2016-02-29 13:57:00,5,2,Second Class,Late delivery,1
45461,2016-10-27 14:39:00,2,2,Second Class,Shipping on time,0
31115,2016-04-05 04:37:00,6,2,Second Class,Late delivery,1
45766,2016-11-01 01:31:00,2,2,Second Class,Shipping on time,0
47752,2016-12-01 01:18:00,3,2,Second Class,Late delivery,1
50054,2017-01-05 15:47:00,5,2,Second Class,Late delivery,1
20365,2015-10-31 06:24:00,6,2,Second Class,Late delivery,1
36146,2016-06-13 15:12:00,2,2,Second Class,Shipping on time,0
41234,2016-08-29 21:45:00,5,2,Second Class,Late delivery,1
32090,2016-04-19 10:12:00,6,2,Second Class,Late delivery,1
34773,2016-05-26 14:10:00,4,2,Second Class,Late delivery,1
44046,2016-10-06 22:55:00,2,2,Second Class,Shipping on time,0
46414,2016-11-13 12:32:00,5,2,Second Class,Late delivery,1
46599,2016-11-16 05:21:00,5,2,Second Class,Late delivery,1
48434,2016-12-13 00:14:00,5,2,Second Class,Late delivery,1
12827,2015-07-10 05:31:00,3,2,Second Class,Late delivery,1
63936,2017-07-24 07:16:00,2,2,Second Class,Shipping on time,0
65030,2017-08-13 06:33:00,6,2,Second Class,Late delivery,1
18108,2015-09-26 07:41:00,4,2,Second Class,Late delivery,1
62571,2017-07-04 09:03:00,2,2,Second Class,Shipping on time,0
17162,2015-09-11 12:15:00,3,2,Second Class,Late delivery,1
65922,2017-08-23 07:03:00,3,2,Second Class,Late delivery,1
64813,2017-08-08 02:31:00,4,2,Second Class,Late delivery,1
67892,2017-09-21 01:14:00,3,2,Second Class,Late delivery,1
12525,2015-07-08 19:42:00,6,2,Second Class,Late delivery,1
5895,2015-04-03 00:55:00,6,2,Second Class,Late delivery,1
56359,2017-04-07 16:43:00,5,2,Second Class,Late delivery,1
